Recipient Org:Identifier,Funding Org:Identifier,Amount Awarded,Grants
GB-CHC-1097475,GB-CHC-1035628,99900.0,1
GB-CHC-1097475,GB-COH-IP00525R,4767.38,1
GB-CHC-1097886,360G-blf,9900.0,1
GB-CHC-1097886,GB-CHC-1105580,60000.0,1
GB-CHC-1097886,GB-CHC-200051,198000.0,1
GB-CHC-1097910,360G-blf,6531.0,1
GB-CHC-1097910,GB-COH-02273708,11286.0,4
GB-CHC-1097910,GB-COH-IP00525R,1655.8,1
GB-CHC-1098237,GB-CHC-1052061,750.0,1
GB-CHC-1098237,GB-CHC-230260,7000.0,1
GB-CHC-1098237,GB-COH-IP00525R,955.17,1
GB-CHC-1099682,GB-CHC-1010656,1500.0,1
GB-CHC-1099682,GB-CHC-230260,50000.0,1
GB-CHC-1099682,GB-CHC-328524,5000.0,1
GB-CHC-1100358,360G-blf,9988.0,1
GB-CHC-1100358,GB-CHC-1045304,250.0,1
GB-CHC-1100358,GB-COH-IP00525R,1121.85,1
GB-CHC-1100405,360G-blf,9892.0,1
GB-CHC-1100405,GB-CHC-1113226,5500.0,2
GB-CHC-1100405,GB-COH-IP00525R,1804.52,1
GB-CHC-1100420,GB-CHC-230260,30000.0,1
GB-CHC-1100420,GB-CHC-274100,25000.0,1
GB-CHC-1100420,GB-COH-IP00525R,1503.05,1
GB-CHC-1100671,360G-blf,8077.0,1
GB-CHC-1100671,GB-CHC-230260,15000.0,1
GB-CHC-1100671,GB-COH-IP00525R,3455.97,1
GB-CHC-1100722,GB-CHC-1059652,10000.0,1
GB-CHC-1100722,GB-CHC-327114,40000.0,1
GB-CHC-1100722,GB-COH-IP00525R,2240.61,1
GB-CHC-1101086,360G-blf,9908.0,1
GB-CHC-1101086,GB-CHC-1143711,4883.0,1
GB-CHC-1101086,GB-COH-IP00525R,3576.09,1
GB-CHC-1101208,360G-blf,330000.0,1
GB-CHC-1101208,GB-CHC-1000147,15000.0,1
GB-CHC-1101208,GB-CHC-1081124,20000.0,1
GB-CHC-1101799,360G-blf,289332.0,1
GB-CHC-1101799,GB-CHC-1093028,105000.0,2
GB-CHC-1101799,GB-CHC-1161290,146097.0,1
GB-CHC-1101976,GB-CHC-230102,109300.0,1
GB-CHC-1101976,GB-CHC-230260,15000.0,1
GB-CHC-1101976,GB-COH-IP00525R,4415.92,2
GB-CHC-1102055,360G-blf,10000.0,1
GB-CHC-1102055,GB-CHC-230260,5000.0,1
GB-CHC-1102055,GB-COH-IP00525R,2251.76,1
GB-CHC-1102257,360G-blf,9430.0,1
GB-CHC-1102257,GB-CHC-274100,3000.0,1
GB-CHC-1102257,GB-CHC-299963,500.0,1
GB-CHC-1102257,GB-COH-IP00525R,3265.23,2
GB-CHC-1102267,360G-blf,9910.0,1
GB-CHC-1102267,GB-CHC-200051,58000.0,1
GB-CHC-1102267,GB-COH-IP00525R,3299.64,1
GB-CHC-1103271,360G-blf,9936.0,1
GB-CHC-1103271,GB-CHC-1161290,45600.0,1
GB-CHC-1103271,GB-CHC-299963,1000.0,1
GB-CHC-1103271,GB-COH-02273708,28775.0,3
GB-CHC-1103599,GB-CHC-1080418,5000.0,1
GB-CHC-1103599,GB-CHC-230260,25000.0,1
GB-CHC-1103599,GB-COH-IP00525R,1545.2199999999998,2
GB-CHC-1104392,GB-CHC-1035628,21000.0,1
GB-CHC-1104392,GB-CHC-274100,9000.0,1
GB-CHC-1104392,GB-COH-IP00525R,3309.75,1
GB-CHC-1104429,GB-CHC-1080418,9880.0,2
GB-CHC-1104429,GB-CHC-1105580,60000.0,1
GB-CHC-1104429,GB-COH-IP00525R,1216.03,1
GB-CHC-1104631,360G-blf,10000.0,1
GB-CHC-1104631,GB-CHC-1105580,90000.0,1
GB-CHC-1104631,GB-CHC-230260,15000.0,1
GB-CHC-1104731,360G-blf,9895.0,1
GB-CHC-1104731,GB-CHC-1035628,20000.0,1
GB-CHC-1104731,GB-CHC-1105580,90000.0,1
GB-CHC-1104779,360G-blf,499384.0,1
GB-CHC-1104779,GB-CHC-1000147,20000.0,1
GB-CHC-1104779,GB-CHC-230102,99000.0,1
GB-CHC-1104779,GB-CHC-230260,10000.0,1
GB-CHC-1104960,GB-CHC-1105580,75000.0,1
GB-CHC-1104960,GB-CHC-1164703,5000.0,1
GB-CHC-1104960,GB-COH-IP00525R,1687.79,1
GB-CHC-1105403,360G-blf,9610.0,1
GB-CHC-1105403,GB-CHC-1103731,1900.0,1
GB-CHC-1105403,GB-LAE-GLA,7000.0,1
GB-CHC-1105412,GB-CHC-1009195,144600.0,1
GB-CHC-1105412,GB-CHC-1105580,90000.0,1
GB-CHC-1105412,GB-CHC-230260,75000.0,1
GB-CHC-1105759,GB-CHC-1000147,10000.0,1
GB-CHC-1105759,GB-CHC-1052061,6000.0,1
GB-CHC-1105759,GB-CHC-230260,40000.0,1
GB-CHC-1106223,360G-blf,283726.0,1
GB-CHC-1106223,GB-CHC-230102,95500.0,1
GB-CHC-1106223,GB-COH-02273708,73060.0,4
GB-CHC-1106747,360G-blf,165760.0,1
GB-CHC-1106747,GB-CHC-1080418,2000.0,1
GB-CHC-1106747,GB-COH-IP00525R,1264.94,1
GB-CHC-1107264,GB-CHC-1105580,92000.0,2
GB-CHC-1107264,GB-CHC-1160316,29936.0,1
GB-CHC-1107264,GB-CHC-205629,391884.0,2
GB-CHC-1107264,GB-CHC-326568 ,250000.0,1
GB-CHC-1107413,360G-blf,367983.0,1
GB-CHC-1107413,GB-CHC-1103731,39897.0,1
GB-CHC-1107413,GB-COH-IP00525R,4173.33,1
GB-CHC-1107670,360G-blf,10000.0,1
GB-CHC-1107670,GB-CHC-1045304,1000.0,1
GB-CHC-1107670,GB-CHC-230260,3000.0,1
GB-CHC-1108113,360G-blf,7600.0,1
GB-CHC-1108113,GB-CHC-1000147,10000.0,1
GB-CHC-1108113,GB-CHC-327114,67200.0,1
GB-CHC-1108162,360G-blf,9945.0,1
GB-CHC-1108162,GB-CHC-230102,90000.0,1
GB-CHC-1108162,GB-CHC-230260,20000.0,1
GB-CHC-1108210,GB-CHC-1164021,25000.0,2
GB-CHC-1108210,GB-CHC-200051,210990.0,1
GB-CHC-1108210,GB-CHC-205629,48000.0,1
GB-CHC-1108855,360G-blf,7719.0,1
GB-CHC-1108855,GB-CHC-230102,10000.0,1
GB-CHC-1108855,GB-COH-IP00525R,6377.09,1
GB-CHC-1109976,360G-blf,2651.0,1
GB-CHC-1109976,GB-CHC-230260,5000.0,1
GB-CHC-1109976,GB-COH-IP00525R,1436.44,1
GB-CHC-1110841,GB-CHC-1000147,10000.0,1
GB-CHC-1110841,GB-CHC-1105580,30000.0,1
GB-CHC-1110841,GB-CHC-327114,75000.0,1
GB-CHC-1110853,360G-blf,388081.0,2
GB-CHC-1110853,GB-CHC-1105580,90000.0,1
GB-CHC-1110853,GB-CHC-200051,147007.0,1
GB-CHC-1110986,360G-blf,199024.0,1
GB-CHC-1110986,GB-CHC-1105580,74000.0,1
GB-CHC-1110986,GB-CHC-230260,15000.0,1
GB-CHC-1110986,GB-COH-IP00525R,1954.48,1
GB-CHC-1111035,360G-blf,4956.0,1
GB-CHC-1111035,GB-CHC-327114,120000.0,1
GB-CHC-1111035,GB-COH-IP00525R,6870.45,2
